,ADX,SMA,RSI,MACD,MACD_Hist,MACD_Signal,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
210,17.6626,33.1060,56.6896,-0.5430,0.2014,-0.7444,33.3800,35.3800,33.2500,35.1900,1.1138,7066900,0.0000,1.0000
211,18.5966,33.2370,55.9585,-0.3869,0.2860,-0.6729,35.3800,35.6300,34.2500,35.0600,1.1097,3191500,0.0000,1.0000
212,21.6822,33.8310,66.7377,-0.0257,0.5178,-0.5434,36.3800,38.1300,36.0000,38.0000,1.2027,10275000,0.0000,1.0000
213,25.6961,34.6120,71.5079,0.4020,0.7564,-0.3544,38.6300,40.5000,38.3800,39.8100,1.2600,11027100,0.0000,1.0000
214,29.3086,35.3370,68.1482,0.6878,0.8338,-0.1459,39.8800,40.0000,39.1900,39.2500,1.2423,1785600,0.0000,1.0000
215,33.0405,36.0500,72.3497,1.0340,0.9439,0.0901,39.0000,41.1300,39.0000,40.8800,1.2939,6476000,0.0000,1.0000
216,36.5454,36.8810,71.8972,1.2878,0.9582,0.3296,41.1300,41.5000,40.2500,40.8100,1.2916,3458500,0.0000,1.0000
217,39.1647,37.5310,66.9146,1.4121,0.8660,0.5461,40.1300,41.1300,40.0000,40.0600,1.2679,2119300,0.0000,1.0000
218,40.4469,38.3440,69.6561,1.5637,0.8141,0.7496,40.5000,41.3800,39.5000,40.9400,1.2958,2425800,0.0000,1.0000
219,42.1447,39.1250,70.6094,1.6893,0.7518,0.9376,42.1300,42.2500,40.0000,41.2500,1.3056,8507900,0.0000,1.0000
220,44.5091,39.9370,76.1430,1.9328,0.7962,1.1366,41.9400,43.9400,41.5000,43.3100,1.3708,12590300,0.0000,1.0000
221,45.6313,40.6060,65.7299,1.9771,0.6724,1.3047,44.1300,44.1300,41.0000,41.7500,1.3214,12040800,0.0000,1.0000
222,47.1345,41.3060,73.9701,2.2486,0.7551,1.4935,42.2500,45.0600,42.1300,45.0000,1.4243,12759100,0.0000,1.0000
223,49.2544,41.8250,73.9701,2.4356,0.7537,1.6819,46.5600,46.8800,44.0000,45.0000,1.4243,6061000,0.0000,1.0000
224,51.1624,42.4880,75.9067,2.6246,0.7542,1.8705,45.7500,46.0600,44.8800,45.8800,1.4521,5008700,0.0000,1.0000
225,51.3603,43.0130,76.4595,2.7627,0.7138,2.0489,46.3100,46.6300,44.1300,46.1300,1.4600,7328000,0.0000,1.0000
226,48.4622,43.5820,77.3155,2.8690,0.6560,2.2129,42.8800,47.3100,42.2500,46.5000,1.4717,9355500,0.0000,1.0000
227,44.3390,43.7140,49.5912,2.5111,0.2385,2.2726,45.5000,46.0000,41.0600,41.3800,1.3097,15391600,0.0000,1.0000
228,40.3524,43.7510,49.3225,2.1965,-0.0609,2.2573,41.8100,42.1300,40.0000,41.3100,1.3075,8982200,0.0000,1.0000
229,36.5537,43.7140,47.5637,1.8906,-0.2934,2.1840,41.9400,42.3100,40.3800,40.8800,1.2939,4775800,0.0000,1.0000
230,33.1348,43.4390,46.2014,1.6040,-0.4640,2.0680,41.0600,42.0000,40.5000,40.5600,1.2837,6947500,0.0000,1.0000
231,32.9222,43.1450,39.3526,1.2215,-0.6772,1.8987,40.4400,40.5600,37.5000,38.8100,1.2283,5361500,0.0000,1.0000
232,33.0457,42.5200,39.1316,0.9031,-0.7965,1.6996,37.6900,39.5000,37.0600,38.7500,1.2265,3087200,0.0000,1.0000
233,33.0647,41.9580,42.8741,0.6936,-0.8047,1.4984,39.2500,39.5600,38.8100,39.3800,1.2464,3440500,0.0000,1.0000
234,31.1670,41.4200,49.0608,0.6110,-0.7099,1.3209,39.9400,40.8800,39.6300,40.5000,1.2818,5000400,0.0000,1.0000
235,28.8084,40.8200,47.1851,0.5097,-0.6490,1.1587,41.0000,41.3800,39.9400,40.1300,1.2701,3258500,0.0000,1.0000
236,26.6857,40.2580,51.3724,0.4844,-0.5394,1.0238,40.8800,41.2500,40.3100,40.8800,1.2939,3002500,0.0000,1.0000
237,24.7752,40.2390,53.0808,0.4838,-0.4320,0.9158,41.1900,41.5600,40.0000,41.1900,1.3037,2167100,0.0000,1.0000
238,22.4520,40.2020,51.4608,0.4578,-0.3664,0.8242,41.6900,41.9400,40.3100,40.9400,1.2958,2490300,0.0000,1.0000
239,22.1032,40.0330,41.5887,0.2927,-0.4252,0.7179,40.3800,40.7500,39.0000,39.1900,1.2404,2742500,0.0000,1.0000
240,22.0823,39.9960,47.9308,0.2397,-0.3825,0.6223,39.0000,40.5600,38.7500,40.1900,1.2720,3024500,0.0000,1.0000
241,23.1450,39.9030,37.4845,0.0113,-0.4888,0.5001,40.1900,40.2500,37.7500,37.8800,1.1989,4140900,0.0000,1.0000
